24.67044,-82.92766,,,,"24.67044,-82.92766,#000000"
24.68163,-82.88594,,,,"24.68163,-82.88594,#000000"
24.71539,-82.89741,,,,"24.71539,-82.89741,#000000"
24.62506,-82.90051,,,,"24.62506,-82.90051,#000000"
24.62872,-82.89717,,,,"24.62872,-82.89717,#000000"
24.71251,-82.88813,,,,"24.71251,-82.88813,#000000"
24.60464,-82.9418,,,,"24.60464,-82.9418,#000000"
24.60495,-82.94486,,,,"24.60495,-82.94486,#000000"
24.60485,-82.94476,,,,"24.60485,-82.94476,#000000"
24.60922,-82.94503,,,,"24.60922,-82.94503,#000000"
24.61107,-82.96054,,,,"24.61107,-82.96054,#000000"
24.6121,-82.96346,,,,"24.6121,-82.96346,#000000"
24.63409,-82.90747,,,,"24.63409,-82.90747,#000000"
24.63408,-82.90737,,,,"24.63408,-82.90737,#000000"
24.63434,-82.96124,,,,"24.63434,-82.96124,#000000"
24.66711,-82.87276,,,,"24.66711,-82.87276,#000000"
24.6692,-82.87376,,,,"24.6692,-82.87376,#000000"
24.68008,-82.88518,,,,"24.68008,-82.88518,#000000"
24.69712,-82.86396,,,,"24.69712,-82.86396,#000000"
24.61071,-82.92999,,,,"24.61071,-82.92999,#000000"
24.63976,-82.96174,,,,"24.63976,-82.96174,#000000"
24.64455,-82.92916,,,,"24.64455,-82.92916,#000000"
24.65729,-82.94462,,,,"24.65729,-82.94462,#000000"
24.68013,-82.9046,,,,"24.68013,-82.9046,#000000"
24.68837,-82.88404,,,,"24.68837,-82.88404,#000000"
24.61355,-82.9023,,,,"24.61355,-82.9023,#000000"
24.64182,-82.92976,,,,"24.64182,-82.92976,#000000"
24.61547,-82.94124,,,,"24.61547,-82.94124,#000000"
24.65177,-82.94108,,,,"24.65177,-82.94108,#000000"
24.71573,-82.86568,,,,"24.71573,-82.86568,#000000"
24.60748,-82.96216,,,,"24.60748,-82.96216,#000000"
24.60742,-82.96232,,,,"24.60742,-82.96232,#000000"
24.60648,-82.96397,,,,"24.60648,-82.96397,#000000"
24.60638,-82.96398,,,,"24.60638,-82.96398,#000000"
24.64062,-82.96698,,,,"24.64062,-82.96698,#000000"
24.64182,-82.9652,,,,"24.64182,-82.9652,#000000"
24.64845,-83.03122,,,,"24.64845,-83.03122,#000000"
24.64562,-83.0776,,,,"24.64562,-83.0776,#000000"
24.61691,-83.07909,,,,"24.61691,-83.07909,#000000"
24.65571,-83.08522,,,,"24.65571,-83.08522,#000000"
24.61071,-83.05878,,,,"24.61071,-83.05878,#000000"
24.56827,-83.04513,,,,"24.56827,-83.04513,#000000"
24.59428,-83.04509,,,,"24.59428,-83.04509,#000000"
24.63263,-83.02151,,,,"24.63263,-83.02151,#000000"
24.63358,-83.01953,,,,"24.63358,-83.01953,#000000"
24.63365,-83.0197,,,,"24.63365,-83.0197,#000000"
24.705,-83.03267,,,,"24.705,-83.03267,#000000"
24.65288,-83.03359,,,,"24.65288,-83.03359,#000000"
24.6528,-83.0337,,,,"24.6528,-83.0337,#000000"
24.65438,-83.03473,,,,"24.65438,-83.03473,#000000"
24.6789,-83.05316,,,,"24.6789,-83.05316,#000000"
24.67776,-83.06089,,,,"24.67776,-83.06089,#000000"
24.67929,-83.05548,,,,"24.67929,-83.05548,#000000"
24.67742,-83.01755,,,,"24.67742,-83.01755,#000000"
24.67972,-83.05809,,,,"24.67972,-83.05809,#000000"
24.68164,-83.03184,,,,"24.68164,-83.03184,#000000"
24.68158,-83.03193,,,,"24.68158,-83.03193,#000000"
24.68204,-83.03258,,,,"24.68204,-83.03258,#000000"
24.68611,-83.05077,,,,"24.68611,-83.05077,#000000"
24.68611,-83.05065,,,,"24.68611,-83.05065,#000000"
24.65465,-83.04868,,,,"24.65465,-83.04868,#000000"
24.65779,-83.07539,,,,"24.65779,-83.07539,#000000"
24.7159,-82.98219,,,,"24.7159,-82.98219,#000000"
24.71599,-82.9822,,,,"24.71599,-82.9822,#000000"
24.67936,-83.07579,,,,"24.67936,-83.07579,#000000"
24.71374,-82.99427,,,,"24.71374,-82.99427,#000000"
24.6645,-83.06661,,,,"24.6645,-83.06661,#000000"
24.67763,-83.03924,,,,"24.67763,-83.03924,#000000"
24.67918,-83.0362,,,,"24.67918,-83.0362,#000000"
24.67911,-83.03626,,,,"24.67911,-83.03626,#000000"
24.65266,-83.05384,,,,"24.65266,-83.05384,#000000"
24.65258,-83.05389,,,,"24.65258,-83.05389,#000000"
24.66305,-83.09585,,,,"24.66305,-83.09585,#000000"
24.66322,-83.09575,,,,"24.66322,-83.09575,#000000"
24.66895,-83.09311,,,,"24.66895,-83.09311,#000000"
24.66891,-83.09313,,,,"24.66891,-83.09313,#000000"
24.70748,-83.03997,,,,"24.70748,-83.03997,#000000"
24.71158,-83.04138,,,,"24.71158,-83.04138,#000000"
24.65111,-83.00241,,,,"24.65111,-83.00241,#000000"
24.7081,-82.98482,,,,"24.7081,-82.98482,#000000"
24.65786,-82.98757,,,,"24.65786,-82.98757,#000000"
24.66102,-82.99015,,,,"24.66102,-82.99015,#000000"
24.58646,-82.91241,,,,"24.58646,-82.91241,#000000"
24.66574,-82.7738,,,,"24.66574,-82.7738,#000000"
24.61663,-82.86659,,,,"24.61663,-82.86659,#000000"
24.63124,-82.87689,,,,"24.63124,-82.87689,#000000"
24.55628,-82.96294,,,,"24.55628,-82.96294,#000000"
24.66327,-82.78115,,,,"24.66327,-82.78115,#000000"
24.69128,-82.8434,,,,"24.69128,-82.8434,#000000"
24.66554,-82.92732,,,,"24.66554,-82.92732,#000000"
24.67931,-82.89919,,,,"24.67931,-82.89919,#000000"
24.60669,-82.94774,,,,"24.60669,-82.94774,#000000"
24.60673,-82.94771,,,,"24.60673,-82.94771,#000000"
24.60942,-82.94297,,,,"24.60942,-82.94297,#000000"
24.65953,-82.93609,,,,"24.65953,-82.93609,#000000"
24.69703,-82.8712,,,,"24.69703,-82.8712,#000000"
24.64292,-82.93093,,,,"24.64292,-82.93093,#000000"
24.64285,-82.93079,,,,"24.64285,-82.93079,#000000"
24.70632,-82.88069,,,,"24.70632,-82.88069,#000000"
24.61073,-82.9382,,,,"24.61073,-82.9382,#000000"
24.61088,-82.93816,,,,"24.61088,-82.93816,#000000"
24.66627,-82.86365,,,,"24.66627,-82.86365,#000000"
24.62498,-83.10259,,,,"24.62498,-83.10259,#000000"
24.64557,-83.07486,,,,"24.64557,-83.07486,#000000"
24.64939,-83.02843,,,,"24.64939,-83.02843,#000000"
24.61957,-83.04206,,,,"24.61957,-83.04206,#000000"
24.71316,-82.99314,,,,"24.71316,-82.99314,#000000"
24.65174,-83.0078,,,,"24.65174,-83.0078,#000000"
24.69763,-83.01459,,,,"24.69763,-83.01459,#000000"
24.68069,-83.07765,,,,"24.68069,-83.07765,#000000"
24.68062,-83.07768,,,,"24.68062,-83.07768,#000000"
24.65974,-83.0739,,,,"24.65974,-83.0739,#000000"
24.67817,-83.06251,,,,"24.67817,-83.06251,#000000"
24.68437,-83.07585,,,,"24.68437,-83.07585,#000000"
24.68901,-83.06917,,,,"24.68901,-83.06917,#000000"
24.70988,-83.03575,,,,"24.70988,-83.03575,#000000"
24.70996,-83.03583,,,,"24.70996,-83.03583,#000000"
24.71905,-82.77438,,,,"24.71905,-82.77438,#000000"
24.62627,-83.10292,,,,"24.62627,-83.10292,#000000"
24.66054,-82.93757,,,,"24.66054,-82.93757,#000000"
24.72683,-82.81263,,,,"24.72683,-82.81263,#000000"
24.71167,-83.03212,,,,"24.71167,-83.03212,#000000"
24.66113,-82.99008,,,,"24.66113,-82.99008,#000000"
24.66053,-82.9377,,,,"24.66053,-82.9377,#000000"
24.65801,-83.04327,,,,"24.65801,-83.04327,#000000"
24.66692,-82.83452,,,,"24.66692,-82.83452,#000000"
24.66708,-82.83448,,,,"24.66708,-82.83448,#000000"
24.71545,-82.89736,,,,"24.71545,-82.89736,#000000"
24.68007,-82.88527,,,,"24.68007,-82.88527,#000000"
24.68836,-82.8841,,,,"24.68836,-82.8841,#000000"
24.6868,-82.90752,,,,"24.6868,-82.90752,#000000"
24.68691,-82.90749,,,,"24.68691,-82.90749,#000000"
24.643,-83.10338,,,,"24.643,-83.10338,#000000"
24.7133,-82.99329,,,,"24.7133,-82.99329,#000000"
24.72389,-82.81352,,,,"24.72389,-82.81352,#000000"
24.6753,-82.82604,,,,"24.6753,-82.82604,#000000"
24.67526,-82.82599,,,,"24.67526,-82.82599,#000000"
24.64031,-83.10308,,,,"24.64031,-83.10308,#000000"
24.64601,-83.10344,,,,"24.64601,-83.10344,#000000"
24.64662,-83.10363,,,,"24.64662,-83.10363,#000000"
24.57491,-82.94858,,,,"24.57491,-82.94858,#000000"
24.62216,-82.82993,,,,"24.62216,-82.82993,#000000"
24.66352,-82.774,,,,"24.66352,-82.774,#000000"
24.59544,-82.87302,,,,"24.59544,-82.87302,#000000"
24.64006,-82.81411,,,,"24.64006,-82.81411,#000000"
24.63626,-82.84566,,,,"24.63626,-82.84566,#000000"
24.65196,-82.95728,,,,"24.65196,-82.95728,#000000"
24.6563,-82.93989,,,,"24.6563,-82.93989,#000000"
24.6563,-82.94009,,,,"24.6563,-82.94009,#000000"
24.65686,-82.93375,,,,"24.65686,-82.93375,#000000"
24.6604,-82.93748,,,,"24.6604,-82.93748,#000000"
24.66242,-82.9315,,,,"24.66242,-82.9315,#000000"
24.66641,-82.92972,,,,"24.66641,-82.92972,#000000"
24.68171,-82.88595,,,,"24.68171,-82.88595,#000000"
24.70547,-82.87213,,,,"24.70547,-82.87213,#000000"
24.64021,-82.85116,,,,"24.64021,-82.85116,#000000"
24.664,-82.93297,,,,"24.664,-82.93297,#000000"
24.65734,-82.94464,,,,"24.65734,-82.94464,#000000"
24.71847,-82.84991,,,,"24.71847,-82.84991,#000000"
24.61544,-82.94132,,,,"24.61544,-82.94132,#000000"
24.65049,-82.95654,,,,"24.65049,-82.95654,#000000"
