time,latitude,longitude,depth,species_nr,scientific_name,common_name,length_fish,number_seen
2014-07-24T00:00:00Z,24.69128,-82.8434,8.8,706,Haemulon sp.,grunt species,6,1
2014-07-24T00:00:00Z,24.69128,-82.8434,8.8,706,Haemulon sp.,grunt species,9,18
2014-07-24T00:00:00Z,24.69128,-82.8434,8.8,706,Haemulon sp.,grunt species,10,37
2014-07-24T00:00:00Z,24.69128,-82.8434,8.8,706,Haemulon sp.,grunt species,12,18
2014-07-24T00:00:00Z,24.69124,-82.8434,9.2,706,Haemulon sp.,grunt species,2,101
2014-07-24T00:00:00Z,24.69124,-82.8434,9.2,706,Haemulon sp.,grunt species,2,54
2014-07-24T00:00:00Z,24.69124,-82.8434,9.2,706,Haemulon sp.,grunt species,3,202
2014-07-24T00:00:00Z,24.69124,-82.8434,9.2,706,Haemulon sp.,grunt species,3,6
2014-07-24T00:00:00Z,24.69124,-82.8434,9.2,706,Haemulon sp.,grunt species,4,60
2014-07-24T00:00:00Z,24.69124,-82.8434,9.2,706,Haemulon sp.,grunt species,5,2
2014-07-27T00:00:00Z,24.66033,-82.93766,25.2,706,Haemulon sp.,grunt species,4,18
2014-07-27T00:00:00Z,24.66033,-82.93766,25.2,706,Haemulon sp.,grunt species,5,487
2014-07-27T00:00:00Z,24.66033,-82.93766,25.2,706,Haemulon sp.,grunt species,5,162
2014-07-27T00:00:00Z,24.66033,-82.93766,25.2,706,Haemulon sp.,grunt species,6,6
2014-06-09T00:00:00Z,24.629,-82.85839,10.3,706,Haemulon sp.,grunt species,2,1
2014-06-09T00:00:00Z,24.629,-82.85839,10.3,706,Haemulon sp.,grunt species,3,3
2014-06-09T00:00:00Z,24.629,-82.85839,10.3,706,Haemulon sp.,grunt species,3,1
2014-06-09T00:00:00Z,24.62889,-82.85831,9.1,706,Haemulon sp.,grunt species,6,2
2014-06-09T00:00:00Z,24.62889,-82.85831,9.1,706,Haemulon sp.,grunt species,7,9
2014-06-08T00:00:00Z,24.64292,-82.93093,10.5,706,Haemulon sp.,grunt species,2,15
2014-06-08T00:00:00Z,24.64292,-82.93093,10.5,706,Haemulon sp.,grunt species,3,18
2014-06-08T00:00:00Z,24.64292,-82.93093,10.5,706,Haemulon sp.,grunt species,4,37
